date;seconds;direction;bid;ask;price
27/03/2001;33105;1;65.40;65.45;65.45
27/03/2001;33109;1;65.40;65.45;65.45
27/03/2001;33136;-1;65.50;66.00;65.50
27/03/2001;33177;-1;65.50;66.00;65.45
27/03/2001;33208;-1;65.40;66.00;65.40
27/03/2001;33374;-1;65.45;65.70;65.45
27/03/2001;33402;-1;65.45;65.70;65.45
27/03/2001;33404;-1;65.45;65.70;65.45
27/03/2001;33457;1;65.45;65.70;65.70
27/03/2001;33596;1;65.65;65.70;65.70
27/03/2001;33608;1;65.65;65.70;65.70
27/03/2001;33637;1;65.65;65.75;65.75
27/03/2001;33650;1;65.65;65.75;65.75
27/03/2001;33667;1;65.65;65.75;65.75
27/03/2001;33682;-1;65.65;66.00;65.65
27/03/2001;33793;-1;65.80;65.90;65.80
27/03/2001;33848;-1;65.75;65.90;65.75
27/03/2001;33861;-1;65.60;65.90;65.60
27/03/2001;34101;-1;65.75;65.90;65.75
27/03/2001;34280;1;65.80;65.85;65.85
27/03/2001;34451;-1;65.85;65.90;65.85
